Fecha,Mes,Month,Title,Employed,MA(5),Tendencia,Serie sin tendencia,Estacionalidad,Residuo,Serie desestacionalizada,,,
ago-99,8,1999 ago.,Retail Trade,14991.2,14999.54,15005.55,-14.35,-21.11875747,6.77,15012.31876,,,
sep-99,9,1999 sep.,Retail Trade,14963.5,15114.32,15055.74,-92.24,-118.8369176,26.60,15082.33692,,,
oct-99,10,1999 oct.,Retail Trade,15135.6,15281.62,15078.93,56.67,6.856750299,49.81,15128.74325,,,
nov-99,11,1999 nov.,Retail Trade,15504.9,15307.96,15094.81,410.09,372.1922342,37.89,15132.70777,,,
dic-99,12,1999 dic.,Retail Trade,15812.9,15298.94,15109.65,703.25,562.5726404,140.68,15250.32736,,,
ene-00,1,2000 ene.,Retail Trade,15122.9,15260.7,15124.02,-1.12,-88.36786141,87.25,15211.26786,,,
feb-00,2,2000 feb.,Retail Trade,14918.4,15177.72,15137.31,-218.91,-278.4622461,59.55,15196.86225,,,
mar-00,3,2000 mar.,Retail Trade,14944.4,15044.22,15141.63,-197.23,-243.4444444,46.22,15187.84444,,,
abr-00,4,2000 abr.,Retail Trade,15090,15067.76,15134.42,-44.42,-163.1647465,118.75,15253.16475,,,
may-00,5,2000 may.,Retail Trade,15145.4,15132.48,15150.05,-4.65,-63.84942396,59.20,15209.24942,,,
jun-00,6,2000 jun.,Retail Trade,15240.6,15198.18,15168.15,72.45,8.817741935,63.63,15231.78226,,,
jul-00,7,2000 jul.,Retail Trade,15242,15228.08,15189.09,52.91,-5.924133811,58.83,15247.92413,,,
ago-00,8,2000 ago.,Retail Trade,15272.9,15275.58,15217.48,55.42,-21.11875747,76.53,15294.01876,,,
sep-00,9,2000 sep.,Retail Trade,15239.5,15382.8,15246.06,-6.56,-118.8369176,112.28,15358.33692,,,
oct-00,10,2000 oct.,Retail Trade,15382.9,15539.94,15247.80,135.10,6.856750299,128.24,15376.04325,,,
nov-00,11,2000 nov.,Retail Trade,15776.7,15542.96,15241.66,535.04,372.1922342,162.85,15404.50777,,,
dic-00,12,2000 dic.,Retail Trade,16027.7,15513.94,15235.94,791.76,562.5726404,229.19,15465.12736,,,
ene-01,1,2001 ene.,Retail Trade,15288,15452.76,15233.07,54.93,-88.36786141,143.30,15376.36786,,,
feb-01,2,2001 feb.,Retail Trade,15094.4,15306.78,15227.42,-133.02,-278.4622461,145.45,15372.86225,,,
mar-01,3,2001 mar.,Retail Trade,15077,15132.78,15212.21,-135.21,-243.4444444,108.24,15320.44444,,,
abr-01,4,2001 abr.,Retail Trade,15046.8,15124.8,15186.37,-139.57,-163.1647465,23.60,15209.96475,,,
may-01,5,2001 may.,Retail Trade,15157.7,15138.88,15181.79,-24.09,-63.84942396,39.76,15221.54942,,,
jun-01,6,2001 jun.,Retail Trade,15248.1,15161.42,15181.44,66.66,8.817741935,57.85,15239.28226,,,
jul-01,7,2001 jul.,Retail Trade,15164.8,15177.74,15184.31,-19.51,-5.924133811,-13.59,15170.72413,,,
ago-01,8,2001 ago.,Retail Trade,15189.7,15191.02,15193.79,-4.09,-21.11875747,17.03,15210.81876,,,
sep-01,9,2001 sep.,Retail Trade,15128.4,15256.62,15207.72,-79.32,-118.8369176,39.52,15247.23692,,,
oct-01,10,2001 oct.,Retail Trade,15224.1,15366.44,15195.41,28.69,6.856750299,21.84,15217.24325,,,
nov-01,11,2001 nov.,Retail Trade,15576.1,15325.5,15176.38,399.72,372.1922342,27.52,15203.90777,,,
dic-01,12,2001 dic.,Retail Trade,15713.9,15257,15156.37,557.53,562.5726404,-5.04,15151.32736,,,
ene-02,1,2002 ene.,Retail Trade,14985,15174.96,15139.80,-154.80,-88.36786141,-66.43,15073.36786,,,
feb-02,2,2002 feb.,Retail Trade,14785.9,15034.64,15121.84,-335.94,-278.4622461,-57.48,15064.36225,,,
mar-02,3,2002 mar.,Retail Trade,14813.9,14883.94,15093.22,-279.32,-243.4444444,-35.88,15057.34444,,,
abr-02,4,2002 abr.,Retail Trade,14874.5,14893.62,15055.57,-181.07,-163.1647465,-17.91,15037.66475,,,
may-02,5,2002 may.,Retail Trade,14960.4,14938.82,15042.99,-82.59,-63.84942396,-18.74,15024.24942,,,
jun-02,6,2002 jun.,Retail Trade,15033.4,14972.26,15035.60,-2.20,8.817741935,-11.02,15024.58226,,,
jul-02,7,2002 jul.,Retail Trade,15011.9,14978.82,15033.45,-21.55,-5.924133811,-15.62,15017.82413,,,
ago-02,8,2002 ago.,Retail Trade,14981.1,14993.46,15042.11,-61.01,-21.11875747,-39.89,15002.21876,,,
sep-02,9,2002 sep.,Retail Trade,14907.3,15063.56,15053.32,-146.02,-118.8369176,-27.18,15026.13692,,,
oct-02,10,2002 oct.,Retail Trade,15033.6,15176.58,15040.84,-7.24,6.856750299,-14.10,15026.74325,,,
nov-02,11,2002 nov.,Retail Trade,15383.9,15152.16,15025.65,358.25,372.1922342,-13.94,15011.70777,,,
dic-02,12,2002 dic.,Retail Trade,15577,15101.16,15012.29,564.71,562.5726404,2.14,15014.42736,,,
ene-03,1,2003 ene.,Retail Trade,14859,15024.92,15003.72,-144.72,-88.36786141,-56.35,14947.36786,,,
feb-03,2,2003 feb.,Retail Trade,14652.3,14893.32,14996.07,-343.77,-278.4622461,-65.31,14930.76225,,,
mar-03,3,2003 mar.,Retail Trade,14652.4,14743.16,14980.14,-327.74,-243.4444444,-84.29,14895.84444,,,
abr-03,4,2003 abr.,Retail Trade,14725.9,14749.26,14958.76,-232.86,-163.1647465,-69.70,14889.06475,,,
may-03,5,2003 may.,Retail Trade,14826.2,14790.9,14961.01,-134.81,-63.84942396,-70.96,14890.04942,,,
jun-03,6,2003 jun.,Retail Trade,14889.5,14840.04,14967.80,-78.30,8.817741935,-87.11,14880.68226,,,
jul-03,7,2003 jul.,Retail Trade,14860.5,14867.9,14978.78,-118.28,-5.924133811,-112.36,14866.42413,,,
ago-03,8,2003 ago.,Retail Trade,14898.1,14904.72,14999.81,-101.71,-21.11875747,-80.59,14919.21876,,,
sep-03,9,2003 sep.,Retail Trade,14865.2,14989.86,15023.89,-158.69,-118.8369176,-39.86,14984.03692,,,
oct-03,10,2003 oct.,Retail Trade,15010.3,15118.8,15024.46,-14.16,6.856750299,-21.02,15003.44325,,,
nov-03,11,2003 nov.,Retail Trade,15315.2,15111.46,15021.24,293.96,372.1922342,-78.23,14943.00777,,,
dic-03,12,2003 dic.,Retail Trade,15505.2,15077.18,15020.42,484.78,562.5726404,-77.79,14942.62736,,,
ene-04,1,2004 ene.,Retail Trade,14861.4,15030.24,15025.63,-164.23,-88.36786141,-75.86,14949.76786,,,
feb-04,2,2004 feb.,Retail Trade,14693.8,14939.76,15030.82,-337.02,-278.4622461,-58.56,14972.26225,,,
mar-04,3,2004 mar.,Retail Trade,14775.6,14836.12,15028.12,-252.52,-243.4444444,-9.07,15019.04444,,,
abr-04,4,2004 abr.,Retail Trade,14862.8,14880.24,15020.07,-157.27,-163.1647465,5.89,15025.96475,,,
may-04,5,2004 may.,Retail Trade,14987,14951.74,15035.87,-48.87,-63.84942396,14.98,15050.84942,,,
jun-04,6,2004 jun.,Retail Trade,15082,15007.58,15054.39,27.61,8.817741935,18.79,15073.18226,,,
jul-04,7,2004 jul.,Retail Trade,15051.3,15034.26,15076.86,-25.56,-5.924133811,-19.63,15057.22413,,,
ago-04,8,2004 ago.,Retail Trade,15054.8,15067.76,15109.63,-54.83,-21.11875747,-33.71,15075.91876,,,
sep-04,9,2004 sep.,Retail Trade,14996.2,15156.6,15145.51,-149.31,-118.8369176,-30.47,15115.03692,,,
oct-04,10,2004 oct.,Retail Trade,15154.5,15287.76,15157.00,-2.50,6.856750299,-9.35,15147.64325,,,
nov-04,11,2004 nov.,Retail Trade,15526.2,15287.02,15163.66,362.54,372.1922342,-9.66,15154.00777,,,
dic-04,12,2004 dic.,Retail Trade,15707.1,15270.16,15171.79,535.31,562.5726404,-27.27,15144.52736,,,
ene-05,1,2005 ene.,Retail Trade,15051.1,15230.38,15181.67,-130.57,-88.36786141,-42.20,15139.46786,,,
feb-05,2,2005 feb.,Retail Trade,14911.9,15138.92,15189.52,-277.62,-278.4622461,0.84,15190.36225,,,
mar-05,3,2005 mar.,Retail Trade,14955.6,15036.4,15190.08,-234.48,-243.4444444,8.96,15199.04444,,,
abr-05,4,2005 abr.,Retail Trade,15068.9,15086.2,15184.32,-115.42,-163.1647465,47.75,15232.06475,,,
may-05,5,2005 may.,Retail Trade,15194.5,15169.34,15199.66,-5.16,-63.84942396,58.68,15258.34942,,,
jun-05,6,2005 jun.,Retail Trade,15300.1,15247.98,15217.13,82.97,8.817741935,74.15,15291.28226,,,
jul-05,7,2005 jul.,Retail Trade,15327.6,15279.48,15236.82,90.78,-5.924133811,96.70,15333.52413,,,
ago-05,8,2005 ago.,Retail Trade,15348.8,15310.36,15267.49,81.31,-21.11875747,102.43,15369.91876,,,
sep-05,9,2005 sep.,Retail Trade,15226.4,15398.72,15299.60,-73.20,-118.8369176,45.64,15345.23692,,,
oct-05,10,2005 oct.,Retail Trade,15348.9,15520.88,15308.00,40.90,6.856750299,34.04,15342.04325,,,
nov-05,11,2005 nov.,Retail Trade,15741.9,15500.24,15312.22,429.68,372.1922342,57.49,15369.70777,,,
dic-05,12,2005 dic.,Retail Trade,15938.4,15468.4,15320.16,618.24,562.5726404,55.67,15375.82736,,,
ene-06,1,2006 ene.,Retail Trade,15245.6,15428.64,15330.84,-85.24,-88.36786141,3.13,15333.96786,,,
feb-06,2,2006 feb.,Retail Trade,15067.2,15314.52,15340.79,-273.59,-278.4622461,4.87,15345.66225,,,
mar-06,3,2006 mar.,Retail Trade,15150.1,15177.6,15340.32,-190.22,-243.4444444,53.23,15393.54444,,,
abr-06,4,2006 abr.,Retail Trade,15171.3,15195,15334.10,-162.80,-163.1647465,0.36,15334.46475,,,
may-06,5,2006 may.,Retail Trade,15253.8,15246.84,15349.82,-96.02,-63.84942396,-32.17,15317.64942,,,
jun-06,6,2006 jun.,Retail Trade,15332.6,15284.26,15366.88,-34.28,8.817741935,-43.10,15323.78226,,,
jul-06,7,2006 jul.,Retail Trade,15326.4,15297.06,15385.38,-58.98,-5.924133811,-53.05,15332.32413,,,
ago-06,8,2006 ago.,Retail Trade,15337.2,15323.5,15415.24,-78.04,-21.11875747,-56.92,15358.31876,,,
sep-06,9,2006 sep.,Retail Trade,15235.3,15419.68,15446.45,-211.15,-118.8369176,-92.31,15354.13692,,,
oct-06,10,2006 oct.,Retail Trade,15386,15550.88,15451.74,-65.74,6.856750299,-72.60,15379.14325,,,
nov-06,11,2006 nov.,Retail Trade,15813.5,15551.94,15448.63,364.87,372.1922342,-7.32,15441.30777,,,
dic-06,12,2006 dic.,Retail Trade,15982.4,15541.28,15446.57,535.83,562.5726404,-26.74,15419.82736,,,
ene-07,1,2007 ene.,Retail Trade,15342.5,15524.28,15447.25,-104.75,-88.36786141,-16.38,15430.86786,,,
feb-07,2,2007 feb.,Retail Trade,15182,15427.04,15445.74,-263.74,-278.4622461,14.72,15460.46225,,,
mar-07,3,2007 mar.,Retail Trade,15301,15323.14,15432.86,-131.86,-243.4444444,111.58,15544.44444,,,
abr-07,4,2007 abr.,Retail Trade,15327.3,15356.94,15412.55,-85.25,-163.1647465,77.92,15490.46475,,,
may-07,5,2007 may.,Retail Trade,15462.9,15423.42,15413.36,49.54,-63.84942396,113.39,15526.74942,,,
jun-07,6,2007 jun.,Retail Trade,15511.5,15470.88,15414.40,97.10,8.817741935,88.28,15502.68226,,,
jul-07,7,2007 jul.,Retail Trade,15514.4,15493.6,15414.01,100.39,-5.924133811,106.31,15520.32413,,,
ago-07,8,2007 ago.,Retail Trade,15538.3,15506.82,15419.83,118.47,-21.11875747,139.59,15559.41876,,,
sep-07,9,2007 sep.,Retail Trade,15440.9,15603.44,15425.34,15.56,-118.8369176,134.40,15559.73692,,,
oct-07,10,2007 oct.,Retail Trade,15529,15732.96,15404.56,124.44,6.856750299,117.58,15522.14325,,,
nov-07,11,2007 nov.,Retail Trade,15994.6,15718.12,15375.94,618.66,372.1922342,246.47,15622.40777,,,
dic-07,12,2007 dic.,Retail Trade,16162,15676.18,15346.05,815.95,562.5726404,253.38,15599.42736,,,
ene-08,1,2008 ene.,Retail Trade,15464.1,15627.36,15319.09,145.01,-88.36786141,233.38,15552.46786,,,
feb-08,2,2008 feb.,Retail Trade,15231.2,15477.96,15290.36,-59.16,-278.4622461,219.30,15509.66225,,,
mar-08,3,2008 mar.,Retail Trade,15284.9,15305.96,15249.39,35.51,-243.4444444,278.95,15528.34444,,,
abr-08,4,2008 abr.,Retail Trade,15247.6,15281.7,15201.23,46.37,-163.1647465,209.54,15410.76475,,,
may-08,5,2008 may.,Retail Trade,15302,15297.16,15173.90,128.10,-63.84942396,191.95,15365.84942,,,
jun-08,6,2008 jun.,Retail Trade,15342.8,15294.36,15147.62,195.18,8.817741935,186.36,15333.98226,,,
jul-08,7,2008 jul.,Retail Trade,15308.5,15264.72,15118.98,189.52,-5.924133811,195.45,15314.42413,,,
ago-08,8,2008 ago.,Retail Trade,15270.9,15231.94,15099.70,171.20,-21.11875747,192.32,15292.01876,,,
sep-08,9,2008 sep.,Retail Trade,15099.4,15233.72,15080.37,19.03,-118.8369176,137.87,15218.23692,,,
oct-08,10,2008 oct.,Retail Trade,15138.1,15256.9,15040.98,97.12,6.856750299,90.26,15131.24325,,,
nov-08,11,2008 nov.,Retail Trade,15351.7,15140.44,14996.10,355.60,372.1922342,-16.59,14979.50777,,,
dic-08,12,2008 dic.,Retail Trade,15424.4,15008.36,14953.23,471.17,562.5726404,-91.40,14861.82736,,,
ene-09,1,2009 ene.,Retail Trade,14688.6,14862.86,14915.43,-226.83,-88.36786141,-138.46,14776.96786,,,
feb-09,2,2009 feb.,Retail Trade,14439,14672.44,14878.37,-439.37,-278.4622461,-160.91,14717.46225,,,
mar-09,3,2009 mar.,Retail Trade,14410.6,14486.64,14828.28,-417.68,-243.4444444,-174.23,14654.04444,,,
abr-09,4,2009 abr.,Retail Trade,14399.6,14457.62,14772.89,-373.29,-163.1647465,-210.13,14562.76475,,,
may-09,5,2009 may.,Retail Trade,14495.4,14467.68,14740.62,-245.22,-63.84942396,-181.37,14559.24942,,,
jun-09,6,2009 jun.,Retail Trade,14543.5,14484.62,14712.55,-169.05,8.817741935,-177.87,14534.68226,,,
